id;creation_date;title;appuser_id
1;2019-10-10T10:16:28;Home Loan Account AGP;1
2;2019-10-09T22:10:25;bypass e-services;2
3;2019-10-10T11:40:44;monitor Adaptive;3
4;2019-10-10T19:08:24;B2C systematic;4
5;2019-10-10T14:40:48;Persevering Gorgeous Steel Salad Associate;5
6;2019-10-10T11:31:30;disintermediate;6
7;2019-10-10T05:28:48;lavender;7
8;2019-10-09T22:59:33;open-source Generic methodologies;8
9;2019-10-10T00:41:34;Communications Underpass Personal Loan Account;9
10;2019-10-10T17:46:58;Associate Intuitive Creative;10
