id;creation_date;image;image_content_type;appuser_id
1;2019-10-10T03:08:23;../fake-data/blob/hipster.png;image/png;1
2;2019-10-10T12:43:10;../fake-data/blob/hipster.png;image/png;2
3;2019-10-10T08:23:22;../fake-data/blob/hipster.png;image/png;3
4;2019-10-10T04:52:09;../fake-data/blob/hipster.png;image/png;4
5;2019-10-10T11:36:35;../fake-data/blob/hipster.png;image/png;5
6;2019-10-10T15:49:18;../fake-data/blob/hipster.png;image/png;6
7;2019-10-10T00:02:20;../fake-data/blob/hipster.png;image/png;7
8;2019-10-10T13:51:54;../fake-data/blob/hipster.png;image/png;8
9;2019-10-10T19:07:20;../fake-data/blob/hipster.png;image/png;9
10;2019-10-10T11:21:52;../fake-data/blob/hipster.png;image/png;10
