id;creation_date;title;image;image_content_type;appuser_id
1;2019-10-10T12:48:01;Directives application Home Loan Account;../fake-data/blob/hipster.png;image/png;1
2;2019-10-10T18:02:41;Computer Practical Fresh Pants;../fake-data/blob/hipster.png;image/png;2
3;2019-10-10T07:21:45;alarm;../fake-data/blob/hipster.png;image/png;3
4;2019-10-10T21:17:42;Producer;../fake-data/blob/hipster.png;image/png;4
5;2019-10-10T01:48:38;red Chips Soap;../fake-data/blob/hipster.png;image/png;5
6;2019-10-10T14:29:14;Albania web-readiness;../fake-data/blob/hipster.png;image/png;6
7;2019-10-10T14:47:59;Investment Account Steel;../fake-data/blob/hipster.png;image/png;7
8;2019-10-10T14:46:39;24/7 Common bluetooth;../fake-data/blob/hipster.png;image/png;8
9;2019-10-10T16:59:49;Cambridgeshire Mississippi;../fake-data/blob/hipster.png;image/png;9
10;2019-10-10T20:40:27;Credit Card Account Table Small Frozen Sausages;../fake-data/blob/hipster.png;image/png;10
