id;config_var_long_1;config_var_long_2;config_var_long_3;config_var_long_4;config_var_long_5;config_var_long_6;config_var_long_7;config_var_long_8;config_var_long_9;config_var_long_10;config_var_long_11;config_var_long_12;config_var_long_13;config_var_long_14;config_var_long_15;config_var_boolean_16;config_var_boolean_17;config_var_boolean_18;config_var_string_19;config_var_string_20
1;80007;65756;20403;31092;55508;74234;73307;81511;61598;61497;18802;68788;35538;37525;78379;true;true;true;synthesizing;Sports back up ivory
2;95807;75867;36794;67837;32693;75626;14888;84197;30560;47031;87665;50205;99633;12471;36830;false;false;true;optical plum Cotton;synergies Costa Rican Colon
3;321;2907;61958;16688;35549;18131;79419;38767;9299;40232;58820;87426;48097;51010;64232;true;false;false;Organic Kwacha;Investment Account
4;67646;59936;80498;60214;26982;2293;82504;32210;49825;63649;7705;14899;5855;69541;33423;true;true;true;indigo connecting Japan;Wooden policy
5;43401;23585;8860;37142;22061;6254;59822;80136;73566;76658;99834;73361;93311;29944;64256;false;false;true;Buckinghamshire Computer;methodologies calculating scale
6;57187;95031;58776;20293;18447;56554;36223;97964;33451;16529;2619;70025;2419;58581;83169;true;false;true;Paradigm solid state;systematic
7;42965;22554;87273;37691;84193;46173;18610;48090;80264;43518;45818;93735;48296;70601;13347;true;false;false;Central District 1080p;bypass
8;15890;22522;61022;13134;13535;39883;75137;92262;65695;47206;95661;1340;6895;28274;5705;false;false;false;content-based;Forward
9;24954;97483;27194;37120;75939;42888;44973;84478;77671;26813;6536;15638;48757;85308;3361;false;false;true;Connecticut back-end groupware;revolutionary Future Shoes
10;66378;54832;96339;12798;56016;88213;93682;39344;5225;82786;41879;78771;26015;62442;73082;false;true;true;Metal;mint green Kentucky Groves
