id;creation_date;top_news_1;top_news_2;top_news_3;top_news_4;top_news_5;latest_news_1;latest_news_2;latest_news_3;latest_news_4;latest_news_5;breaking_news_1;recent_posts_1;recent_posts_2;recent_posts_3;recent_posts_4;featured_articles_1;featured_articles_2;featured_articles_3;featured_articles_4;featured_articles_5;featured_articles_6;featured_articles_7;featured_articles_8;featured_articles_9;featured_articles_10;popular_news_1;popular_news_2;popular_news_3;popular_news_4;popular_news_5;popular_news_6;popular_news_7;popular_news_8;weekly_news_1;weekly_news_2;weekly_news_3;weekly_news_4;news_feeds_1;news_feeds_2;news_feeds_3;news_feeds_4;news_feeds_5;news_feeds_6;useful_links_1;useful_links_2;useful_links_3;useful_links_4;useful_links_5;useful_links_6;recent_videos_1;recent_videos_2;recent_videos_3;recent_videos_4;recent_videos_5;recent_videos_6
1;2019-10-09T22:23:51;49327;65032;8152;19954;40326;68022;22056;7219;41839;3065;20357;25768;84045;46262;17419;86827;96078;72716;41590;74270;84624;42549;62876;34593;73535;37103;76772;98764;50484;4010;54330;86703;51399;57867;58805;43861;2939;72525;39551;48666;60618;87342;59772;90070;79295;42172;65500;27682;99213;59235;28385;91236;35915;21066;38384
2;2019-10-10T06:50:28;46581;63156;83599;73311;23579;13156;77600;71582;40531;90903;60185;17968;63254;23754;37284;97139;51261;18097;41303;85438;6913;49227;43716;24723;9739;87074;40502;44530;59291;51481;57941;35923;66262;59295;9526;16352;65212;39108;31214;96941;39904;25813;85798;65673;903;32519;58841;77347;59871;13087;39665;96982;23702;45378;23467
3;2019-10-10T16:07:37;88370;7349;44202;16975;33088;51977;44877;33700;66939;82888;14575;43088;44943;24871;58788;61714;94858;70677;25252;16704;35925;16761;37935;3667;60553;73640;35673;66380;53351;47463;78179;84417;70538;80567;44636;58535;86421;86827;55814;20584;53990;11191;3418;26974;98669;5708;12297;53116;23113;93660;5169;3934;64000;12210;22470
4;2019-10-10T10:56:22;18001;93387;8855;31615;10330;50723;58467;4157;68820;14834;39737;98663;47989;96511;68596;493;1737;95181;32313;63911;97309;86791;58011;45473;25422;51559;52173;48884;34265;66686;53224;13965;12574;2997;13271;30792;14354;70468;93981;20185;73289;67343;16238;96991;18834;9390;73082;67260;15616;44375;23456;86814;96334;17714;25530
5;2019-10-10T05:10:10;66163;83811;97863;94461;37429;68324;1751;49717;24414;61784;83087;86890;86460;57060;76851;3038;11310;93094;79551;68952;91867;67651;60060;21567;94087;65888;82683;39386;66697;65123;57718;10659;34857;65784;15928;99941;60495;4821;31811;97717;86643;40690;99333;87075;75242;78238;9048;56701;28868;73844;10910;87851;65051;40414;76519
6;2019-10-10T13:56:36;92567;66759;43817;80784;90137;76228;87789;79781;31719;43558;86890;81783;37567;12020;29686;54448;64907;575;32838;32458;63020;36646;60983;39617;56343;69546;38041;38855;54849;44869;59648;23754;54568;37325;44441;22726;1466;7319;58706;60344;16844;66821;64257;61949;75934;46349;50044;37978;54236;86333;95147;51908;84716;47918;91423
7;2019-10-10T21:10:36;81376;34124;10891;38019;14899;39882;52662;58017;24606;53360;47669;60790;39436;76488;54941;81298;74687;71812;71549;95552;52123;1823;82239;19577;43086;756;89671;64747;7128;89803;95466;24348;65469;92703;38007;6026;19715;93443;47918;35162;19455;10142;16633;48587;61735;25677;52308;28487;67009;30728;92960;80302;53226;53916;58093
8;2019-10-10T14:19:15;8962;61033;71763;71615;39990;27262;97672;41354;82317;12188;52248;18114;12322;68111;85941;18143;79978;52516;18458;70904;29527;10687;79340;56731;18522;25656;91775;96292;42452;48354;8703;80599;81574;55022;37350;4341;52649;63315;11230;95140;258;60161;63798;81918;51517;88420;59353;22807;79374;21204;64660;61098;17477;41102;36077
9;2019-10-10T01:38:09;90589;90002;76994;35342;55663;23687;25564;78052;30206;27480;73195;82261;85117;42373;67142;66754;80952;9553;76665;62385;14970;45176;42394;58660;15298;16801;23523;73687;86925;86279;47289;21673;53535;9571;17844;2363;31227;64197;23024;60709;20618;54669;63796;23194;25688;39090;63201;59447;5845;49676;14177;98778;27454;13643;59704
10;2019-10-10T05:06:32;67584;40431;44271;42819;44579;71759;72451;69243;1582;99125;34109;12839;81870;10410;60321;72433;33722;57838;90552;27416;77262;7941;26489;8565;64528;89419;59575;19186;40118;32337;36695;22665;34356;35499;61715;6942;44240;51905;83186;6761;66960;80035;6993;23371;64016;54001;27114;88007;59281;65087;68013;53295;23082;32433;45685
