id;creation_date;notification_date;notification_reason;notification_text;is_delivered;appuser_id
1;2019-10-10T15:01:20;2019-10-10T08:38:23;AUTHORIZE_COMMUNITY_FOLLOWER;multi-byte Producer;false;1
2;2019-10-10T18:43:35;2019-10-10T12:51:45;AUTHORIZE_COMMUNITY_FOLLOWER;JSON Texas;false;2
3;2019-10-10T11:29:43;2019-10-10T05:28:29;PROPOSAL_RELEASED;Berkshire navigating;false;3
4;2019-10-10T14:38:52;2019-10-10T00:17:55;UNFOLLOWING;Interactions;true;4
5;2019-10-10T19:36:00;2019-10-10T13:16:24;AUTHORIZE_COMMUNITY_FOLLOWER;Applications Missouri deposit;false;5
6;2019-10-10T19:35:24;2019-10-10T14:45:14;FOLLOWING;Data neural Wooden;true;6
7;2019-10-10T09:55:30;2019-10-09T22:24:33;UNAUTHORIZE_COMMUNITY_FOLLOWER;mindshare;true;7
8;2019-10-10T08:41:21;2019-10-10T13:22:09;PROPOSAL_RELEASED;SDD bypassing;false;8
9;2019-10-10T04:58:04;2019-10-10T16:26:57;PROPOSAL_RELEASED;panel Sleek Intelligent;true;9
10;2019-10-10T07:50:23;2019-10-10T12:48:31;UNFOLLOWING;Pennsylvania dynamic bandwidth;false;10
