id;creation_date;vquestion;vquestion_description;appuser_id;vtopic_id
1;2019-10-10T12:39:27;EXE SMS back-end;orange bypassing Graphic Interface;1;1
2;2019-10-10T21:14:34;Chicken;compelling;2;2
3;2019-10-09T22:22:40;invoice generating;Throughway;3;3
4;2019-10-10T14:15:46;Investment Account Rubber Legacy;Gloves Cambridgeshire revolutionize;4;4
5;2019-10-10T18:16:46;leading-edge Sleek Steel Hat;Versatile;5;5
6;2019-10-10T19:52:23;parse Cotton;task-force Cambridgeshire;6;6
7;2019-10-10T11:14:39;Refined;Electronics Kids;7;7
8;2019-10-10T07:19:52;intuitive streamline;digital Ferry;8;8
9;2019-10-10T20:23:47;Producer Generic Metal Gloves;communities Keyboard Rustic;9;9
10;2019-10-10T03:00:28;attitude-oriented;Saudi Riyal;10;10
