id;creation_date;vtopic_title;vtopic_description;appuser_id
1;2019-10-10T13:48:01;Aruban Guilder;reintermediate efficient Producer;1
2;2019-10-10T11:04:48;proactive New Hampshire;Usability;2
3;2019-10-10T17:35:06;El Salvador Colon US Dollar mint green;partnerships content;3
4;2019-10-10T02:04:09;Garden moratorium Consultant;Markets Cross-group;4
5;2019-10-10T12:12:31;Chair Producer Accounts;Switchable Kyat;5
6;2019-10-10T19:33:43;Cloned 1080p;Rubber connecting back-end;6
7;2019-10-10T04:46:57;Music;Expanded;7
8;2019-10-10T13:35:32;evolve plug-and-play;Lithuania;8
9;2019-10-10T14:27:35;morph Village Auto Loan Account;Sausages online;9
10;2019-10-10T08:00:08;Texas aggregate Cambridgeshire;Granite quantifying;10
